EXPERIMENT: exp_logistic_benford_deviation | Status: CONFIRMED | Results: summary.mean_lyap_kl_corr -0.83481 +/- 0.00548 (d=-5.47, 96.8% sign-consistent); summary.periodic_vs_chaotic_ratio +3.71128 +/- 0.00097 (d=136.83, 100.0% sign-consistent). 776 seeds, 22 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_langton_ant_anisotropic_stripes | Status: REJECTED | Results: summary.mean_mid_success_gain -0.06293 +/- 0.00016 (d=-13.10, 100.0% sign-consistent); summary.mean_mid_onset_advance +0.28310 +/- 0.00020 (d=45.91, 100.0% sign-consistent). 936 seeds, 26 hosts. Last updated: 2026-03-10
EXPERIMENT: exp_henon_chaos_boundary_fractal_gpu | Status: CONFIRMED | Results: bounded chaos boundary d_f +1.30809 +/- 0.00094 (d=1390.59, 100.0% sign-consistent); bounded-fit R2 +0.99962 +/- 0.00025 (d=3956.83, 100.0% sign-consistent). 80 seeds, 15 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_metapop_recurrence_recovery_alignment_gpu_gpu | Status: NO EFFECT | Results: summary.mid_recurrence_window_gain_mean +1.66277 +/- 14.53550 (d=+0.11, 72.2% sign-consistent); summary.aligned_interior_recurrence_gain_mean -1.28437 +/- 23.52535 (d=-0.05, 44.4% sign-consistent); summary.interior_peak_support_fraction_mean +0.29423 +/- 0.01603 (d=18.36, 100.0% sign-consistent). 36 seeds, 9 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_percolation_walk_dimension_3d_gpu | Status: REJECTED | Results: mean d_w +6.97903 +/- 0.09757 (d=71.53, 100.0% sign-consistent); d_w minus literature 3.88 +3.09903 +/- 0.09757 (d=31.76, 100.0% sign-consistent). 58 seeds, 11 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_may_lowrank_mutualism_localization | Status: NO EFFECT | Results: summary.mean_mid_window_shift -3.67025 +/- 104.93723 (d=-0.03, 52.0% sign-consistent); summary.mean_high_window_shift +17.45358 +/- 777.04479 (d=+0.02, 48.2% sign-consistent); summary.support_fraction_u_shape +0.02418 +/- 0.00495 (d=4.89, 99.8% sign-consistent). 1290 seeds, 36 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_minority_game_delay_memory_interaction | Status: REJECTED | Results: bimodal mid-delay volatility gain -0.47825 +/- 0.14654 (d=-3.26, 0.5% sign-consistent). 1692 seeds, 31 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_kauffman_modular_inhibition_window | Status: CONFIRMED | Results: summary.mean_interior_peak_fraction +0.57787 +/- 0.00226 (d=255.47, 100.0% sign-consistent); summary.mean_mid_localization_gain +0.12014 +/- 0.00219 (d=54.78, 100.0% sign-consistent). 813 seeds, 21 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_kauffman_dominant_module_balance_gpu | Status: PRELIMINARY | Results: summary.mean_mid_coexistence_gain -0.25177 +/- 0.00353 (d=-71.29, 100.0% sign-consistent); summary.mean_mid_active_fraction_gain -0.15221 +/- 0.00042 (d=-363.00, 100.0% sign-consistent); summary.mean_mid_monopoly_relief +0.32874 +/- 0.00148 (d=221.45, 100.0% sign-consistent). 15 seeds, 7 hosts. Last updated: 2026-03-11
EXPERIMENT: exp_grayscott_delay_pulse_feedback | Status: NO EFFECT | Results: low-delay persistence gain -0.03288 +/- 0.00003 (d=-26.24, 100.0% sign-consistent); high-delay persistence gain -0.03316 +/- 0.00006 (d=-13.80, 100.0% sign-consistent). 1387 seeds, 31 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_chemostat_delay_crossfeeding_resonance | Status: PRELIMINARY | Results: resonance strength -0.00044 +/- 0.00010 (d=-0.14, 57.9% sign-consistent); adaptive-minus-fixed coexistence -0.00313 +/- 0.00007 (d=-1.50, 94.1% sign-consistent). 1018 seeds, 27 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_tritrophic_delay_harvest_resilience | Status: NO EFFECT | Results: low-delay persistence gain +0.20431 +/- 0.00007 (d=97.56, 100.0% sign-consistent); high-delay collapse gain -0.25561 +/- 0.00007 (d=-118.35, 100.0% sign-consistent). 983 seeds, 29 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_lorenz96_delay_assimilation_regime_shift | Status: NO EFFECT | Results: low-delay adaptive-minus-fixed RMSE +0.44704 +/- 0.00042 (d=34.79, 100.0% sign-consistent); high-delay instability gain +0.00000 +/- 0.00000 (d=0.00, 100.0% sign-consistent). 939 seeds, 29 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_metapop_corridor_delay_forecast | Status: PRELIMINARY | Results: adaptive helps low delay +0.00000 +/- 0.00000 (d=0.00, 100.0% sign-consistent); adaptive hurts high delay +1.00000 +/- 0.00000 (d=inf, 100.0% sign-consistent). 1113 seeds, 31 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_fiberbundle_delay_healing_entropy | Status: NO EFFECT | Results: mid-disorder moderate-delay load gain -4.59403e-17 +/- 0.00000 (d=-0.02, 5.2% sign-consistent); long-delay load penalty -1.70635e-16 +/- 0.00000 (d=-0.10, 20.9% sign-consistent). 812 seeds, 25 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_pit_delay_inhibitor_resonance | Status: CONFIRMED | Results: resonance mean +0.06578 +/- 0.00011 (d=21.85, 100.0% sign-consistent); heterogeneity gap +8.42503 +/- 0.00005 (d=6178.74, 100.0% sign-consistent). 712 seeds, 32 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_seasonal_metapop_vax_trigger | Status: NO EFFECT | Results: c=0.05 attack reduction -0.65523 +/- 0.00006 (d=-455.46, 100.0% sign-consistent); c=0.15 attack reduction -0.65572 +/- 0.00002 (d=-1720.53, 100.0% sign-consistent). 557 seeds, 23 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_interdep_flow_memory_shedding_tradeoff | Status: NO EFFECT | Results: medium-window gain -0.00064 +/- 0.00004 (d=-0.65, 61.7% sign-consistent); gain-positive flag +0.38259 +/- 0.01971 (d=0.79, 38.3% sign-consistent). 609 seeds, 28 hosts. Last updated: 2026-03-04
EXPERIMENT: exp_potts_pulse_anneal_resonance | Status: CONFIRMED | Results: resonance index +0.04291 +/- 0.00016 (d=10.10, 100.0% sign-consistent); interior peak fraction +0.67084 +/- 0.00262 (d=9.88, 100.0% sign-consistent). 669 seeds, 28 hosts. Last updated: 2026-03-04
