Axiom validation log 2026-03-07_0554

Session summary
- Uncredited experiment results seen in DB: 1727
- Sanitized files ready and reviewed: 1271
- Results still waiting on sanitized files: 456
- Credit awarded this session: 10000
- Credited results this session: 1271
- Credit distribution: 1103 results at 8 credit, 168 results at 7 credit
- Experiment mix reviewed: may_heterogeneity_reactivity_localization 735, trophic_coherence_reactivity_localization 257, may_ecosystem_stability_structure 244, muller_ratchet_fluctuating_metapop 35

Cleanup and failure review
- Stuck task cleanup query affected 0 rows
- No experiment script changes were made
- No active experiment was aborted: recent failures for trophic_coherence_reactivity_localization and may_ecosystem_stability_structure were outcome 5/6 rows without stderr tracebacks, so this pass did not show a reproducible script crash to justify aborting active work

Per-user totals after credit update
- user 1: +626 this session -> total_credit 23814.645579000007
- user 10: +513 this session -> total_credit 31451.48600000001
- user 22: +32 this session -> total_credit 2041.0
- user 40: +3824 this session -> total_credit 741206.4271749984
- user 56: +1296 this session -> total_credit 157102.62
- user 67: +160 this session -> total_credit 4650.936
- user 88: +2558 this session -> total_credit 9615.5
- user 90: +739 this session -> total_credit 70196.52100000001
- user 127: +252 this session -> total_credit 12354.199999999993

Results reviewed this session
- result 1804060 (host 29): exp_may_ecosystem_stability_structure_02199a_2 — elapsed 907.386s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804063 (host 333): exp_may_ecosystem_stability_structure_c4fe67_2 — elapsed 884.312s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804064 (host 333): exp_may_ecosystem_stability_structure_b608f8_2 — elapsed 881.953s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804065 (host 333): exp_may_ecosystem_stability_structure_98b97c_2 — elapsed 884.750s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804066 (host 333): exp_may_ecosystem_stability_structure_fa5804_2 — elapsed 903.312s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804067 (host 333): exp_may_ecosystem_stability_structure_cfc4f8_2 — elapsed 883.781s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804068 (host 333): exp_may_ecosystem_stability_structure_f783f0_2 — elapsed 882.094s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804069 (host 333): exp_may_ecosystem_stability_structure_9d95af_2 — elapsed 893.859s, 131 numeric values, distinct 130, large_numeric_payload, 131_values -> 8 credit
- result 1804070 (host 29): exp_may_ecosystem_stability_structure_a91293_2 — elapsed 917.266s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
- result 1804073 (host 29): exp_may_ecosystem_stability_structure_efbea5_2 — elapsed 857.664s, 61 numeric values, distinct 60, multi_measurement_payload, 61_values -> 7 credit
