Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1931479 (host 230): exp_minority_game_delay_memory_interaction_0496dd_0 — nbytes=34592, elapsed=544.8s, payload=ok -> 4.39 credit
- result 1931520 (host 230): exp_minority_game_delay_memory_interaction_cc7235_0 — nbytes=34634, elapsed=545.3s, payload=ok -> 4.40 credit
- result 1931528 (host 230): exp_minority_game_delay_memory_interaction_904bfd_0 — nbytes=34598, elapsed=545.3s, payload=ok -> 4.40 credit
- result 1931533 (host 230): exp_minority_game_delay_memory_interaction_4f517f_0 — nbytes=34616, elapsed=544.4s, payload=ok -> 4.40 credit
- result 1931547 (host 16): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu_8d8371_0 — nbytes=46595, elapsed=861.4s, payload=ok -> 5.92 credit
- result 1931619 (host 230): exp_minority_game_delay_memory_interaction_6692e5_0 — nbytes=34629, elapsed=545.4s, payload=ok -> 4.40 credit
- result 1931620 (host 230): exp_minority_game_delay_memory_interaction_5a637d_0 — nbytes=34656, elapsed=913.9s, payload=ok -> 4.40 credit
- result 1931622 (host 230): exp_minority_game_delay_memory_interaction_35cdab_0 — nbytes=34597, elapsed=890.8s, payload=ok -> 4.40 credit
- result 1931634 (host 230): exp_minority_game_delay_memory_interaction_6e7a9d_0 — nbytes=34614, elapsed=546.3s, payload=ok -> 4.40 credit
- result 1931665 (host 140): exp_minority_game_delay_memory_interaction_edd1e8_0 — nbytes=33178, elapsed=544.0s, payload=ok -> 4.22 credit
- result 1931666 (host 140): exp_minority_game_delay_memory_interaction_42a904_0 — nbytes=33239, elapsed=875.0s, payload=ok -> 4.22 credit
- result 1931723 (host 123): exp_minority_game_delay_memory_interaction_ddf96f_0 — nbytes=34584, elapsed=120.4s, payload=ok -> 4.39 credit
- result 1931725 (host 123): exp_minority_game_delay_memory_interaction_b8eb0d_0 — nbytes=34637, elapsed=265.8s, payload=ok -> 4.40 credit
- result 1931726 (host 123): exp_minority_game_delay_memory_interaction_98e449_0 — nbytes=34612, elapsed=120.4s, payload=ok -> 4.40 credit
- result 1931728 (host 123): exp_minority_game_delay_memory_interaction_55e4bd_0 — nbytes=34601, elapsed=237.2s, payload=ok -> 4.40 credit
- result 1931729 (host 123): exp_minority_game_delay_memory_interaction_b61ddf_0 — nbytes=34608, elapsed=120.4s, payload=ok -> 4.40 credit
- result 1931739 (host 123): exp_minority_game_delay_memory_interaction_c2d78e_0 — nbytes=34624, elapsed=227.9s, payload=ok -> 4.40 credit
- result 1931755 (host 123): exp_minority_game_delay_memory_interaction_829faa_0 — nbytes=34609, elapsed=120.4s, payload=ok -> 4.40 credit
- result 1931763 (host 123): exp_minority_game_delay_memory_interaction_9a02a9_0 — nbytes=34610, elapsed=120.4s, payload=ok -> 4.40 credit
- result 1931823 (host 123): exp_minority_game_delay_memory_interaction_f1001e_0 — nbytes=34552, elapsed=252.7s, payload=ok -> 4.39 credit
- result 1931836 (host 85): exp_minority_game_delay_memory_interaction_57bd6d_0 — nbytes=34603, elapsed=217.9s, payload=ok -> 4.40 credit
