Validation session: 2026-03-08_1943
Final burst drain for missing-sanitized completions
Results reviewed this session: 276
Sanitized payloads reviewed: 0 present / all missing
Eligible results: 0
Denied sentinel results: 276

Results reviewed this session:
result 1934614 (host 367): exp_minority_game_delay_memory_interaction | elapsed=866.64s | nbytes=33265 | missing sanitized payload -> 0.01 credit
result 1934618 (host 367): exp_minority_game_delay_memory_interaction | elapsed=855.48s | nbytes=33237 | missing sanitized payload -> 0.01 credit
result 1934619 (host 367): exp_minority_game_delay_memory_interaction | elapsed=853.41s | nbytes=33235 | missing sanitized payload -> 0.01 credit
result 1934620 (host 367): exp_minority_game_delay_memory_interaction | elapsed=871.45s | nbytes=33227 | missing sanitized payload -> 0.01 credit
result 1934621 (host 367): exp_minority_game_delay_memory_interaction | elapsed=858.95s | nbytes=33197 | missing sanitized payload -> 0.01 credit
result 1934622 (host 367): exp_minority_game_delay_memory_interaction | elapsed=852.75s | nbytes=33244 | missing sanitized payload -> 0.01 credit
result 1934625 (host 367): exp_minority_game_delay_memory_interaction | elapsed=858.41s | nbytes=33257 | missing sanitized payload -> 0.01 credit
result 1934626 (host 367): exp_minority_game_delay_memory_interaction | elapsed=856.66s | nbytes=33275 | missing sanitized payload -> 0.01 credit
result 1934630 (host 367): exp_minority_game_delay_memory_interaction | elapsed=855.62s | nbytes=33247 | missing sanitized payload -> 0.01 credit
result 1934632 (host 367): exp_minority_game_delay_memory_interaction | elapsed=867.97s | nbytes=33232 | missing sanitized payload -> 0.01 credit
result 1934634 (host 367): exp_minority_game_delay_memory_interaction | elapsed=877.50s | nbytes=33211 | missing sanitized payload -> 0.01 credit
result 1934636 (host 367): exp_minority_game_delay_memory_interaction | elapsed=858.97s | nbytes=33234 | missing sanitized payload -> 0.01 credit
result 1934637 (host 367): exp_minority_game_delay_memory_interaction | elapsed=866.09s | nbytes=33219 | missing sanitized payload -> 0.01 credit
result 1934639 (host 367): exp_minority_game_delay_memory_interaction | elapsed=864.57s | nbytes=33268 | missing sanitized payload -> 0.01 credit
result 1934642 (host 367): exp_minority_game_delay_memory_interaction | elapsed=869.63s | nbytes=33225 | missing sanitized payload -> 0.01 credit
result 1934643 (host 367): exp_minority_game_delay_memory_interaction | elapsed=858.74s | nbytes=33247 | missing sanitized payload -> 0.01 credit
result 1934645 (host 367): exp_minority_game_delay_memory_interaction | elapsed=856.10s | nbytes=33253 | missing sanitized payload -> 0.01 credit
result 1934647 (host 367): exp_minority_game_delay_memory_interaction | elapsed=875.58s | nbytes=33245 | missing sanitized payload -> 0.01 credit
result 1935917 (host 222): exp_minority_game_delay_memory_interaction | elapsed=1133.30s | nbytes=27892 | missing sanitized payload -> 0.01 credit
result 1935920 (host 222): exp_minority_game_delay_memory_interaction | elapsed=1131.47s | nbytes=27944 | missing sanitized payload -> 0.01 credit
result 1935921 (host 222): exp_minority_game_delay_memory_interaction | elapsed=1131.47s | nbytes=27956 | missing sanitized payload -> 0.01 credit
result 1936949 (host 360): exp_nasch_anticipation_heterogeneity | elapsed=866.24s | nbytes=7956 | missing sanitized payload -> 0.01 credit
result 1938302 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938303 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938304 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938305 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938306 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938307 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938308 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938309 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938310 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938311 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938312 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938313 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938314 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938315 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938316 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938317 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938318 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938319 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938320 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938321 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938322 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938323 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938324 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938325 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938326 (host 0): exp_markov_branching_rescue_correlation | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938327 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938328 (host 0): exp_hypergraph_pgg_inertia_crossover | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938329 (host 0): exp_nasch_anticipation_heterogeneity | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
result 1938330 (host 0): exp_minority_game_delay_memory_interaction | elapsed=0.00s | nbytes=0 | missing sanitized payload -> 0.01 credit
